,index,brand_name,model_name,price,rating,generation,number_of_cores,number_of_threads,RAM (in GB),Data_rate,hardware_type,SSD (in GB),Graphic_cards,resolution (in Pixels),touch_screen,display (in inches),OS,warranty
0,0,HP,HP Victus 16-d0333TX Gaming Laptop ,58990,75.0,11th,6,12,16,DDR4,Intel Core i5 11400H,512.0,4 GB NVIDIA GeForce GTX 1650, 1920 x 1080 ,No,16.1,Windows 11,1 Year Warranty
1,1,HP,HP 15s-fq2717TU Laptop ,38980,60.0,11th,2,4,8,DDR4,Intel Core i3 1115G4,512.0,Intel UHD Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
2,2,Lenovo,Lenovo V15 82KDA01BIH Laptop ,31990,62.0,5th,4,8,8,DDR4,AMD Ryzen 3 5300U,512.0,AMD Radeon Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
3,3,Asus,Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop ,49990,65.0,5th,6,12,8,DDR4,AMD Ryzen 5 5600H,512.0,AMD Radeon Vega 7, 1920 x 1200 ,No,16,Windows 11,1 Year Warranty
4,4,Acer,Acer One 14 Z8-415 Laptop ,31990,60.0,11th,2,4,8,DDR4,Intel Core i3 1115G4,512.0,‎Intel Iris Xe Graphics, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
5,5,HP,HP Pavilion 15-eg3081TU Laptop ,76990,66.0,13th,12,16,16,DDR4,Intel Core i5 1340P,512.0,Intel Integrated Integrated, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
6,6,HP,HP Victus 15-fb0121AX Gaming Laptop ,54990,67.0,5th,6,12,8,DDR4,AMD Ryzen 5  5600H,512.0,4 GB NVIDIA GeForce GTX 1650, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
7,7,Asus,Asus Vivobook 15 2023 X1502VA-NJ541WS Laptop ,64990,62.0,13th,12,16,16,DDR4,Intel Core i5 13500H,512.0,Integrated Intel iris Xe Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
8,8,Asus,Asus Vivobook 15 X1502ZA-EJ532WS Laptop ,51400,64.0,12th,10,12,8,DDR4,Intel Core i5 1235U,512.0,Intel Iris Xe, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
9,9,Lenovo,Lenovo E41-55 ‎82C700FNGE Laptop ,18595,,,2,2,4,,,1024.0,AMD Radeon Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
10,10,Apple,Apple MacBook Air 2020 MGND3HN Laptop ,79990,,,8,,8,DDR4,,256.0,Apple M1 Integrated Graphics, 2560 x 1600 ,No,13.3,Mac,1 Year Warranty
11,11,MSI,MSI Stealth 16 Mercedes AMG Motorsport A13V Gaming Laptop ,292990,,13th,14,20,32,DDR5,Intel Core i9 13900H,1024.0,8 GB NVIDIA GeForce RTX 4070, 3840 x 2400 ,No,16,Windows 11,2 Year Warranty
12,12,MSI,MSI Bravo 15 B5ED-035IN Gaming Laptop ,59990,72.0,5th,8,16,16,DDR4,AMD Ryzen 7 5800H,512.0,4 GB AMD Radeon RX6500M, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
13,13,Asus,Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop ,115990,78.0,12th,14,20,16,DDR4,Intel Core i7 12700H,512.0,8 GB NVIDIA GeForce RTX 4060, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
14,14,Acer,Acer One 14 Z8-415UN.599SI.009 Laptop ,29990,,11th,2,4,8,DDR4,Intel Core i3 1115G4,256.0,‎Intel Iris Xe Graphics, 1920 x 1080 ,No,14,Windows 11,1 Year Warranty
15,15,Dell,Dell Inspiron 3520 D560896WIN9B Laptop ,41490,60.0,12th,6,8,8,DDR4,Intel Core i3 1215U,512.0,Intel UHD Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
16,16,Xiaomi,Xiaomi RedmiBook Pro 15 Laptop ,37990,60.0,11th,4,8,8,DDR4,Intel Core i5 11300H,512.0,Intel Iris Xe Graphics, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
17,17,Infinix,Infinix INBook Y1 Plus Neo XL30 Laptop ,26490,,11th,4,4,8,LPDDR4X,Intel Celeron N5100,512.0,Intel Integrated UHD, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
18,18,HP,HP Victus 15-fb0106AX Gaming Laptop ,64990,72.0,5th,6,12,16,DDR4,AMD Ryzen 5 5600H,512.0,4 GB NVIDIA GeForce RTX 3050, 1920 x 1080 ,Yes,15.6,Windows 11,1 Year Warranty
19,19,Primebook,Primebook 4G Android Laptop ,16990,,,8,,4,LPDDR4,,64.0,ARM Mali G72, 1366 x 768 ,No,11.6,Android 11,1 Year Warranty
20,20,HP,HP 15s-fq5111TU Laptop ,54990,61.0,12th,10,12,8,DDR4,Intel Core i5 1235U,512.0,Intel Iris Xe, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
21,21,Asus,Asus TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop ,81990,79.0,6th,8,16,16,DDR5,AMD Ryzen 7 6800H,512.0,4 GB NVIDIA GeForce RTX 3050 Ti, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
22,22,Asus,Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop ,53899,65.0,5th,6,12,16,DDR4,AMD Ryzen 5 5600H,512.0,AMD Radeon Vega 7 Graphics, 1920 x 1200 ,No,16,Windows 11,1 Year Warranty
23,23,Asus,Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop ,59990,71.0,5th,8,16,16,DDR4,AMD Ryzen 7  5800H,512.0,AMD Radeon Vega 7, 1920 x 1200 ,No,16,Windows 11,1 Year Warranty
24,24,HP,HP 247 G8 67U77PA Laptop ,23390,,,,,8,DDR4,,1024.0,,,No,,Linux,
25,25,HP,HP 15-fc0028AU Laptop ,46990,,7th,4,8,8,LPDDR5,AMD Ryzen 5 7520U,512.0,AMD Radeon AMD, 1920 x 1080 ,No,15.6,Windows 11,1 Year Warranty
26,26,HP,HP 247 G8 ‎6B5R3PA Laptop ,26999,,5th,4,8,8,DDR4,AMD Ryzen 3  5300U,512.0,AMD Radeon Graphics, 1366 x 768 ,No,14,DOS,1 Year Warranty
27,27,Apple,Apple MacBook Air 2022 Laptop ,107990,,,8,,8,DDR4,,256.0,8-Core GPU, 2560 x 1664 ,No,13.6,Mac,1 Year Warranty
